income,expenses,savings_rate,credit_cards,credit_utilization,emi_count,online_shopping_spend,age,category
141958,93712,0.3398610856732273,4,52.55409514963411,4,10407,55,Saver
166867,128471,0.23009942049656312,4,67.17803029479076,4,7106,36,Balanced
151932,144562,0.04850854329568491,1,40.49736968032594,1,512,57,Overspender
123694,113166,0.08511326337574983,3,23.624717855779583,0,2817,24,Overspender
139879,110603,0.20929517654544286,4,14.146949516815003,4,15929,22,Balanced
130268,84935,0.34799797340866523,3,16.368413308541477,0,7985,59,Saver
74886,65707,0.12257297759260743,1,7.264505027859741,4,17259,41,Balanced
157337,107556,0.3163972873513541,1,58.840058338731296,3,756,58,Saver
188266,170423,0.09477547725027355,1,61.34833906064799,2,17333,24,Overspender
107498,82546,0.23211594634318777,2,51.07399850513696,4,16403,28,Balanced
132727,98567,0.2573703918569696,3,39.33918175853442,3,3712,26,Balanced
146324,100426,0.3136737650692983,1,81.21918872925025,1,6675,47,Saver
195203,164687,0.15632956460710132,3,38.037030340719845,3,14071,58,Balanced
36023,24574,0.3178247230935791,2,44.418336162877864,1,16587,20,Saver
61090,38965,0.362170568014405,2,39.042969733417614,4,7946,39,Saver
87221,78803,0.09651345432865938,1,33.233838670731046,1,18192,57,Overspender
84820,61074,0.2799575571799104,1,52.619489796621956,3,15377,37,Balanced
20769,17315,0.1663055515431653,4,27.33006621590954,2,13443,49,Balanced
79735,60974,0.23529190443343576,3,25.9884434697072,0,10806,24,Balanced
84925,68702,0.19102737709743892,1,53.62938770818708,0,4516,24,Balanced
25311,17610,0.3042550669669314,4,30.047832668753216,2,6412,37,Saver
123355,119758,0.029159742207450042,3,42.669640561503584,0,942,42,Overspender
105305,104164,0.010835193010778215,1,33.173437604729465,4,3444,52,Overspender
179765,176106,0.020354351514477235,4,39.76897403546704,4,4436,41,Overspender
150608,128628,0.14594178264102836,4,26.534217630667523,3,898,57,Balanced
176730,166699,0.05675889775363549,3,27.18822494501813,3,16196,30,Overspender
104478,88441,0.15349642987040335,4,23.60535756379431,1,3495,56,Balanced
142537,94799,0.3349165479840322,3,56.86660219722903,3,6829,21,Saver
169503,130074,0.23261535194067362,3,43.43769668502659,4,2716,29,Balanced
150523,143381,0.0474478983278303,3,58.37101647587329,3,18591,34,Overspender
22747,9638,0.5762957752670682,2,60.507731290879235,0,12023,18,Saver
143855,120845,0.15995273017969483,4,30.80171345728653,1,3068,34,Balanced
85725,75938,0.11416739574219889,3,57.631699687771274,1,660,19,Balanced
149981,106117,0.29246371207019556,1,39.71758556133134,4,16148,23,Balanced
104654,95182,0.0905077684560552,2,36.82652989041496,3,8567,28,Overspender
186845,162462,0.13049854157189114,2,65.0473419332155,0,4404,35,Balanced
139346,134097,0.03766882436524909,4,51.07536925630864,3,4073,57,Overspender
87435,38718,0.5571796191456511,3,32.95151489872545,2,2325,42,Saver
76886,41368,0.4619566631116198,4,49.77586631053296,3,14286,56,Saver
86803,67452,0.22293008306164533,2,14.685746956608213,4,10315,45,Balanced
51551,46463,0.09869837636515295,3,44.94625962279233,3,14294,33,Overspender
136216,119934,0.11953074528689728,1,10.008168982836327,1,1676,29,Balanced
31394,11064,0.64757596993056,3,20.31200748263634,0,8320,58,Saver
89092,45683,0.4872379113725138,2,51.69279396538238,4,17014,46,Saver
23890,1112,0.9534533277521976,1,0.0,2,1999,40,Saver
61606,36342,0.4100899263058793,3,76.0502371814951,0,8126,38,Saver
107313,101238,0.056610103156187974,1,56.689854414092025,0,16637,33,Overspender
161699,150287,0.07057557560652818,1,3.229337550205237,1,19672,58,Overspender
28792,-20662,1.717629897193665,2,87.9699721338646,1,4208,43,Saver
194073,164708,0.1513090435042484,1,93.48207784972035,1,2269,54,Balanced
174969,166739,0.04703690368008047,4,36.39016682020523,4,10010,39,Overspender
88148,38948,0.5581521985751237,2,21.47021870599513,3,14726,27,Saver
144243,132241,0.08320681072911684,4,73.72607148405729,0,16134,24,Overspender
140174,125227,0.10663175767260691,1,33.124197251194815,3,7231,26,Balanced
174555,159869,0.08413394059179055,4,43.22079015625708,3,11465,42,Overspender
144358,114054,0.20992255365133902,3,64.34579467845535,1,19928,32,Balanced
68555,54481,0.20529501859820581,1,36.92977072413606,3,875,30,Balanced
37159,31666,0.1478242148604645,3,35.17891499366664,0,16017,59,Balanced
130510,95282,0.26992567619339514,4,14.55210045589563,0,19920,43,Balanced
126530,111390,0.11965541768750494,3,27.38913808523969,2,6718,38,Balanced
100077,67422,0.32629874996252883,1,34.78460307487864,4,17624,40,Saver
55920,11448,0.7952789699570816,3,15.228736219306658,3,8995,45,Saver
39457,31641,0.19808905897559367,4,17.041283635812444,4,1585,55,Balanced
98953,86314,0.12772730488211576,4,40.672026332879796,4,13573,29,Balanced
72995,24803,0.660209603397493,4,3.0059170865607925,4,11871,41,Saver
191829,144096,0.2488309901005583,1,22.416739687573365,4,18094,30,Balanced
29692,-800,1.0269432843863666,4,78.89187987194045,0,11726,57,Saver
196830,184590,0.06218564243255601,1,33.09062705719855,3,10546,19,Overspender
57065,23367,0.5905195829317444,3,30.58553183592298,2,17151,56,Saver
119299,91342,0.23434395929555152,4,33.00108330970319,4,19658,29,Balanced
183678,149870,0.18406123760058363,3,33.31695237091335,2,11541,56,Balanced
31534,24707,0.21649647998985222,2,51.497377396767675,0,4849,31,Balanced
60397,26635,0.5590012748977599,3,50.09732306355602,0,5465,47,Saver
111387,102128,0.08312460161419197,2,32.1848317387096,1,13992,58,Overspender
21016,5167,0.7541397030833651,3,35.723251537241154,4,13836,36,Saver
75591,58359,0.2279636464658491,1,66.25546235980119,1,17873,48,Balanced
43247,1675,0.9612689897565149,3,9.793904910594996,2,13184,42,Saver
44300,19127,0.5682392776523703,1,38.84835966902558,3,17821,21,Saver
102798,96424,0.06200509737543532,1,42.70493080702464,1,7154,30,Overspender
29268,7094,0.7576192428590952,4,24.466342798017696,0,7842,53,Saver
106807,82240,0.23001301412828748,1,37.69726793017405,4,2858,59,Balanced
32185,-4107,1.1276060276526332,2,21.76647078396233,2,6860,54,Saver
190171,179894,0.05404083693097265,4,52.74338141403007,0,4243,20,Overspender
159643,127043,0.20420563382046192,4,13.235866889912415,3,7659,33,Balanced
58044,47159,0.18753014954172698,3,61.24667324840119,4,1018,43,Balanced
71214,69436,0.02496700087061533,1,38.53389685820885,3,17152,57,Overspender
134752,104587,0.22385567561149372,1,31.039322811325782,3,13425,56,Balanced
68984,66492,0.03612431868259307,2,19.906058006914527,4,15310,36,Overspender
60774,29312,0.51768848520749,3,60.613155919749296,4,16739,32,Saver
22568,7953,0.6475983693725629,3,26.962757319320815,3,5975,49,Saver
140151,94251,0.32750390650084554,4,16.655028810110338,2,4685,38,Saver
153767,109821,0.28579604206364173,4,61.02926638016238,4,5661,18,Balanced
144375,135524,0.061305627705627704,4,21.91388373010683,0,10080,23,Overspender
199262,181974,0.08676014493480945,2,38.11035371711026,1,10386,44,Overspender
156330,148174,0.052171688095695,2,56.37607551474527,2,11965,40,Overspender
59504,56460,0.051156224791610645,4,43.15915205561908,4,11721,48,Overspender
184231,175863,0.045421237468178534,3,74.61703091739948,4,2835,29,Overspender
33986,13086,0.6149591008062143,2,23.300992634246448,2,4174,38,Saver
81858,50258,0.38603435217083243,3,35.789773268005185,1,5076,19,Saver
149312,101909,0.3174761573081869,3,37.336437194646365,3,15472,22,Saver
32666,6032,0.815343170268781,1,52.424699051479905,0,1000,26,Saver
58660,48492,0.17333787930446642,4,65.77246255676187,4,8583,37,Balanced
154633,132672,0.14202013800417762,1,41.47233019257394,1,8794,35,Balanced
46854,1758,0.9624791906774235,4,37.246723392794316,0,16220,39,Saver
84505,37418,0.5572096325661203,4,10.340162643402696,2,6043,25,Saver
124488,99636,0.19963369963369965,3,42.2476237959339,4,19630,51,Balanced
42662,8552,0.7995405747503633,4,26.99399980007093,3,3776,26,Saver
28392,-4782,1.1684277261200338,3,52.36872621197539,2,19969,24,Saver
50535,15320,0.6968437716434155,3,31.806316215639438,4,7113,47,Saver
133569,105614,0.20929257537302817,4,35.18723891259857,1,12229,35,Balanced
72256,64675,0.10491862267493357,3,10.79463970832861,0,1827,44,Balanced
109135,63516,0.4180052228890823,3,3.7709583247492233,0,8272,33,Saver
147478,140161,0.049614179742063225,3,77.21974080367222,4,11166,38,Overspender
55222,11366,0.794176234109594,2,42.59367819130552,2,16789,22,Saver
97373,50659,0.4797428445256899,3,48.08670955261217,3,19446,46,Saver
143684,116035,0.19242921967651236,2,21.754100736344938,1,19320,54,Balanced
30965,6833,0.779331503310189,2,57.51047214357226,4,6269,39,Saver
44538,26749,0.39941173829089766,3,53.90279791808721,1,14163,31,Saver
128066,112499,0.12155451095528869,3,23.951456111543806,0,6418,36,Balanced
133252,117384,0.1190826404106505,2,18.809891283092263,3,17973,52,Balanced
159182,133812,0.15937731653076354,2,25.349446323454547,1,5055,41,Balanced
178338,134805,0.24410389260841772,3,39.43434702585776,4,2894,59,Balanced
118806,87323,0.2649950339208457,3,43.34214006280451,3,1166,23,Balanced
157982,144516,0.08523755870922003,4,40.76788016477302,2,12855,20,Overspender
130989,101186,0.22752292177205719,2,65.97460217280408,4,2734,51,Balanced
110982,91752,0.17327134129858895,2,25.700862998078833,1,6835,19,Balanced
141626,122764,0.13318176041122393,4,18.266760179421606,3,18120,32,Balanced
139176,94821,0.3186971891705466,2,40.00198043703641,4,18507,54,Saver
151278,119019,0.21324316820687741,1,6.138303683381075,3,18258,32,Balanced
142409,107870,0.24253382862038214,2,53.91474997021236,3,12003,49,Balanced
43419,20510,0.5276261544485134,4,41.959265289522534,3,6859,38,Saver
70015,38220,0.4541169749339427,1,33.239239181801075,1,17060,34,Saver
142096,132326,0.06875633374619976,3,32.12894253501722,4,14376,51,Overspender
127059,114966,0.09517625669964347,4,58.199915642424656,0,3428,49,Overspender
130687,83116,0.3640071315433058,4,57.562958706770615,0,8117,40,Saver
107939,106746,0.011052538934027552,3,35.07256283173294,1,8114,52,Overspender
169213,133438,0.2114199263649956,4,51.83537647115757,1,4774,54,Balanced
125878,107309,0.14751584867887954,2,57.26740923680677,3,5471,58,Balanced
184899,172709,0.065927884953407,3,46.71052451249425,4,8889,54,Overspender
82623,38871,0.5295377800370357,4,35.890699607425496,4,17852,50,Saver
95450,62123,0.3491566265060241,3,47.62335414981202,2,3004,42,Saver
113426,70356,0.37971893569375625,3,19.218267141412497,2,6506,54,Saver
137845,116456,0.15516703543835467,3,41.42211138587851,0,8443,57,Balanced
173371,132174,0.23762336261543165,1,35.33747488747486,2,18153,38,Balanced
63585,60324,0.051285680585043646,4,32.20268752413064,2,18248,55,Overspender
129225,99856,0.22727026504159412,1,5.469579762731392,0,1423,57,Balanced
84044,56532,0.3273523392508686,4,19.44804497175142,0,17354,51,Saver
193629,185913,0.039849402723765553,2,30.282103517492367,2,10746,36,Overspender
129556,107297,0.17180987372256012,2,57.90078361277513,4,12975,44,Balanced
22693,-7240,1.3190411139999119,2,45.71646980807975,2,19838,26,Saver
115259,72570,0.3703745477576588,4,58.79348496055804,3,18032,22,Saver
45939,40561,0.1170682862056205,3,64.8582676480026,3,3586,22,Balanced
199997,158414,0.20791811877178157,3,46.586182904989904,3,15360,42,Balanced
194013,146467,0.24506605227484757,1,42.80586821360593,1,17513,43,Balanced
172906,152071,0.12049899945635201,1,20.540120066295792,3,7907,36,Balanced
38047,8014,0.7893657844245275,2,79.73342529146618,4,1274,47,Saver
46105,21105,0.5422405379026136,1,11.64311856579619,1,9209,53,Saver
95766,49270,0.4855167804857674,4,42.3746817641699,1,16811,33,Saver
166779,155447,0.06794620425832988,4,56.65598007090764,3,1843,24,Overspender
173048,129444,0.2519763302667468,1,56.93475155062676,2,10661,35,Balanced
64262,60462,0.059132924589959855,1,16.898218191213527,0,11919,38,Overspender
145117,114579,0.2104370955849418,1,31.601939942648194,2,8297,48,Balanced
43776,12657,0.7108689692982456,1,24.02090455764673,2,19783,18,Saver
181152,171819,0.05152027027027027,2,0.3913154086795885,1,1434,20,Overspender
148376,141966,0.043201056774680544,2,42.60653483489923,1,2486,48,Overspender
157848,139009,0.11934899396888146,1,25.647692075200457,1,14516,42,Balanced
112787,81268,0.27945596566980235,4,70.10964569422691,4,5965,25,Balanced
147948,141140,0.04601616784275556,2,52.303488763773444,4,10466,18,Overspender
75016,67220,0.10392449610749707,4,40.82803900428213,0,16221,24,Balanced
160546,138366,0.13815355100718796,3,30.546009352582622,1,2005,24,Balanced
41959,-2097,1.0499773588503063,4,42.30232139571349,3,5863,25,Saver
156602,137893,0.11946846145004533,1,34.882523681684404,1,16440,36,Balanced
139101,120558,0.13330601505380982,3,41.39078217786217,4,11346,34,Balanced
23748,-14670,1.6177362304194038,2,78.03271541663938,1,1510,28,Saver
33545,3470,0.8965568639141451,2,18.704876893046446,4,15424,58,Saver
147659,108904,0.2624628366709784,3,36.62716262703453,1,13982,28,Balanced
185838,136870,0.26349831573736265,4,54.12776800604448,3,9869,55,Balanced
93530,55065,0.4112584197583663,2,31.997183164283506,0,4357,58,Saver
113557,82055,0.27741134408270735,1,71.61083681216739,3,10364,19,Balanced
81087,63363,0.21858004365681305,3,53.56918306023677,4,10620,21,Balanced
88840,84012,0.05434488968932913,1,25.62219169660753,2,11870,45,Overspender
138451,120364,0.13063827635770056,3,44.08137404549964,3,3053,50,Balanced
71005,57400,0.19160622491373847,2,25.90782531624398,1,15989,28,Balanced
197648,165311,0.16360904233789364,4,24.066833712918108,0,4889,20,Balanced
59353,52871,0.1092109918622479,3,37.19604040580838,1,17435,57,Balanced
72733,44728,0.3850384282237774,3,65.27522323803562,1,11589,22,Saver
85318,61558,0.2784875407299749,1,54.908900795694336,3,9731,38,Balanced
174736,168273,0.03698722644446479,2,39.54844787005488,0,3551,39,Overspender
87172,39544,0.5463680998485753,1,55.62372389604785,2,5822,54,Saver
113264,107352,0.05219663794321232,2,45.37237420831657,1,12289,28,Overspender
46736,41088,0.12084902430674427,1,16.602139487494245,0,3055,39,Balanced
